,1,2,3,4,5
11111,0,0,0,0,0
11112,0,0,0,0,0
11113,0,0,0,0,0
11114,0,0,0,0,0
11115,0,0,0,0,0
11121,0,0,0,0,0
11122,0,0,0,0,0
11123,0,0,0,0,0
11124,0,0,0,0,0
11125,0,0,0,0,0
11131,0,0,0,0,0
11132,0,0,0,0,0
11133,0,0,0,0,0
11134,0,0,0,0,0
11135,0,0,0,0,0
11141,0,0,0,0,0
11142,0,0,0,0,0
11143,0,0,0,0,0
11144,0,0,0,0,0
11145,0,0,0,0,0
11151,0,0,0,0,0
11152,0,0,0,0,0
11153,0,0,0,0,0
11154,0,0,0,0,0
11155,0,0,0,0,0
11211,0,0,0,0,0
11212,0,0,0,0,0
11213,0,0,0,0,0
11214,0,0,0,0,0
11215,0,0,0,0,0
11221,0,0,0,0,0
11222,0,0,0,0,0
11223,0,0,0,0,0
11224,0,0,0,0,0
11225,0,0,0,0,0
11231,0,0,0,0,0
11232,0,0,0,0,0
11233,0,0,0,0,0
11234,0,0,0,0,0
11235,0,0,0,0,0
11241,0,0,0,0,0
11242,0,0,0,0,0
11243,0,0,0,0,0
11244,0,0,0,0,0
11245,0,0,0,0,0
11251,0,0,0,0,0
11252,0,0,0,0,0
11253,0,0,0,0,0
11254,0,0,0,0,0
11255,0,0,0,0,0
11311,0,0,0,0,0
11312,0,0,0,0,0
11313,0,0,0,0,0
11314,0,0,0,0,0
11315,0,0,0,0,0
11321,0,0,0,0,0
11322,0,0,0,0,0
11323,0,0,0,0,0
11324,0,0,0,0,0
11325,0,0,0,0,0
11331,0,0,0,0,0
11332,0,0,0,0,0
11333,0,0,0,0,0
11334,0,0,0,0,0
11335,0,0,0,0,0
11341,0,0,0,0,0
11342,0,0,0,0,0
11343,0,0,0,0,0
11344,0,0,0,0,0
11345,0,0,0,0,0
11351,0,0,0,0,0
11352,0,0,0,0,0
11353,0,0,0,0,0
11354,0,0,0,0,0
11355,0,0,0,0,0
11411,0,0,0,0,0
11412,0,0,0,0,0
11413,0,0,0,0,0
11414,0,0,0,0,0
11415,0,0,0,0,0
11421,0,0,0,0,0
11422,0,0,0,0,0
11423,0,0,0,0,0
11424,0,0,0,0,0
11425,0,0,0,0,0
11431,0,0,0,0,0
11432,0,0,0,0,0
11433,0,0,0,0,0
11434,0,0,0,0,0
11435,0,0,0,0,0
11441,0,0,0,0,0
11442,0,0,0,0,0
11443,0,0,0,0,0
11444,0,0,0,0,0
11445,0,0,0,0,0
11451,0,0,0,0,0
11452,0,0,0,0,0
11453,0,0,0,0,0
11454,0,0,0,0,0
11455,0,0,0,0,0
11511,0,0,0,0,0
11512,0,0,0,0,0
11513,0,0,0,0,0
11514,0,0,0,0,0
11515,0,0,0,0,0
11521,0,0,0,0,0
11522,0,0,0,0,0
11523,0,0,0,0,0
11524,0,0,0,0,0
11525,0,0,0,0,0
11531,0,0,0,0,0
11532,0,0,0,0,0
11533,0,0,0,0,0
11534,0,0,0,0,0
11535,0,0,0,0,0
11541,0,0,0,0,0
11542,0,0,0,0,0
11543,0,0,0,0,0
11544,0,0,0,0,0
11545,0,0,0,0,0
11551,0,0,0,0,0
11552,0,0,0,0,0
11553,0,0,0,0,0
11554,0,0,0,0,0
11555,0,0,0,0,0
12111,0,0,0,0,0
12112,0,0,0,0,0
12113,0,0,0,0,0
12114,0,0,0,0,0
12115,0,0,0,0,0
12121,0,0,0,0,0
12122,0,0,0,0,0
12123,0,0,0,0,0
12124,0,0,0,0,0
12125,0,0,0,0,0
12131,0,0,0,0,0
12132,0,0,0,0,0
12133,0,0,0,0,0
12134,0,0,0,0,0
12135,0,0,0,0,0
12141,0,0,0,0,0
12142,0,0,0,0,0
12143,0,0,0,0,0
12144,0,0,0,0,0
12145,0,0,0,0,0
12151,0,0,0,0,0
12152,0,0,0,0,0
12153,0,0,0,0,0
12154,0,0,0,0,0
12155,0,0,0,0,0
12211,0,0,0,0,0
12212,0,0,0,0,0
12213,0,0,0,0,0
12214,0,0,0,0,0
12215,0,0,0,0,0
12221,0,0,0,0,0
12222,0,0,0,0,0
12223,0,0,0,0,0
12224,0,0,0,0,0
